TITLE	BSA_c1_g1_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	10:49:29
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00113
MAXY	     0.70314
MINY	    -0.00113
XYDATA
260.0000	0.41617
259.5000	0.41217
259.0000	0.406819
258.5000	0.399502
258.0000	0.390003
257.5000	0.379379
257.0000	0.368966
256.5000	0.360311
256.0000	0.353786
255.5000	0.349398
255.0000	0.346665
254.5000	0.34531
254.0000	0.344698
253.5000	0.344229
253.0000	0.343607
252.5000	0.342444
252.0000	0.341053
251.5000	0.339854
251.0000	0.33981
250.5000	0.341444
250.0000	0.345496

##### Extended Information
[Comment]
Sample Name	BSA_c1_g1_8.3mMYCl3
Comment	8.3mMYCl3
User	FZ
Division	TOF
Company	ILL

[Data Information]
Creation Date	28/03/2010 10:49
Data array type	Linear data array
Horizontal	Wavelength [nm]
Vertical	Abs
Start	800 nm
End	250 nm
Data pitch	0.5 nm
Data points	1101    

[Measurement Information]
Instrument Name	UV/Vis
Model Name	V-630
Serial No.	A062261148

Accessory	HMC-711
Accessory S/N	B001961107
  Cell Length	10 mm
  Temperature	25.00 C

Photometric Mode	Abs
Measurement range	800 - 250 nm
Data pitch	0.5 nm
Band width(UV/Vis)	1.5 nm
Response	Fast
Scanning speed	400 nm/min
Source Change	340 nm
Light Source	D2/WI
Filter Exchange	Step
Correction	Baseline

